ID_venta,Fecha_venta,Marca,Tipo,Capacidad_kg,Altura_torre_mm,Provincia,Cliente_tipo,Año_fabricación,Estado,Método_pago,Vendedor,Horas_uso,Precio_USD
VENT00822,2022-01-07,Linde,eléctrico,5000,3000,Santa Fe,particular,2019.0,usado,contado,Grupo Industrial SA,2939.5748174314535,49656.58
VENT00209,2022-01-08,Hyster,gas,1800,3000,Santa Fe,particular,2015.0,reacondicionado,contado,Potencia SRL,5014.133313072488,19701.25
VENT00073,2022-01-09,Yale,eléctrico,3500,4700,Buenos Aires,empresa logística,2017.0,nuevo,contado,Grupo Industrial SA,2754.4851768774442,54889.31
VENT01169,2022-01-10,Linde,eléctrico,1800,4000,Santa Fe,distribuidor,2019.0,usado,contado,Forklift Solutions,6395.6006218884695,12000.0
VENT00129,2022-01-11,Hyster,eléctrico,1800,4000,Buenos Aires,,2023.0,usado,leasing,Forklift Solutions,1564.7862423016413,18145.26
VENT00206,2022-01-14,Crown,eléctrico,1800,3000,Neuquén,empresa logística,2016.0,usado,contado,Autoelevadores Norte,5913.993588870815,12000.0
VENT00408,2022-01-16,Hyster,gas,5000,4000,Chubut,particular,2015.0,usado,leasing,Potencia SRL,5665.510884148234,36331.05
VENT00457,2022-01-17,Yale,eléctrico,5000,4000,Neuquén,empresa logística,2016.0,usado,leasing,Potencia SRL,4811.110471185268,46531.25
VENT00946,2022-01-17,Crown,eléctrico,1800,4000,Córdoba,,2021.0,usado,crédito,Autoelevadores Norte,3455.539975230455,16025.59
VENT00471,2022-01-18,Linde,diésel,5000,3000,Santa Fe,particular,2018.0,usado,crédito,Grupo Industrial SA,4842.587324118254,42441.47
VENT00899,2022-01-19,Hyster,gas,2500,6000,Neuquén,distribuidor,2023.0,usado,leasing,Grupo Industrial SA,4135.627495814084,27388.02
VENT00841,2022-01-20,Toyota,diésel,1800,3000,Santa Fe,particular,2019.0,nuevo,crédito,Autoelevadores Norte,1678.67431639356,29837.68
VENT00333,2022-01-22,Crown,diésel,1800,4700,Neuquén,,2022.0,usado,leasing,Forklift Solutions,4917.592926726031,12692.07
VENT00564,2022-01-22,Toyota,diésel,2500,4000,Mendoza,distribuidor,2022.0,nuevo,leasing,Potencia SRL,917.8899788215881,41323.21
VENT00245,2022-01-23,Yale,gas,1800,4700,Buenos Aires,empresa logística,2020.0,usado,contado,Forklift Solutions,3586.9153127466907,19713.13
